ID,merger/pair,off center,nearby,irregular,comment/question,no/problematic object
466002,0,1,0,1,Multiple possible objects could be the focus,0
466005,0,1,0,0,,0
466009,0,0,0,1,Unusual shape/possible merger,0
466011,1,0,0,0,,0
466017,0,0,0,0,,0
466021,0,0,0,1,Unusual shape/possible merger,0
466024,0,0,0,0,,1
466025,0,0,1,0,,0
466026,0,1,0,0,,0
466027,0,0,0,0,,0
466028,0,0,0,1,Streak object/possible overexposure,1
466034,0,0,0,0,,0
466042,0,0,0,0,,1
466049,0,0,0,0,,1
466050,0,0,0,0,,1
466056,1,0,0,0,,0
466058,1,1,0,0,,0
466059,0,1,0,1,Two possible objects,0
466060,0,0,0,1,Large streak on left,1
466063,0,0,0,0,,1
466065,1,0,0,0,,0
466069,1,0,1,0,,0
466070,0,1,1,0,,0
466075,0,1,1,0,,0
466076,0,1,1,1,Two possible objects could be the focus,0
466077,1,1,0,0,,0
466078,0,1,1,1,Possible merger,0
466082,0,1,0,0,,0
466090,0,1,0,0,,0
466092,0,0,0,0,,1
466095,0,1,0,0,,0
466097,0,0,0,0,,0
466108,0,0,0,0,,1
466110,0,0,0,0,,1
466114,0,0,0,1,image artifact,1
466116,0,1,0,0,,0
466117,0,1,0,0,,0
466118,0,1,0,0,,0
466122,1,1,0,0,,0
466123,0,1,0,0,,0
466126,0,1,1,0,,0
466128,0,1,0,0,,0
466132,1,1,0,0,,0
466143,0,1,0,0,,0
466145,0,1,1,0,,0
466154,0,0,0,1,image artifacts,0
466155,0,0,0,0,,1
466156,0,0,0,1,image artifact,0
466158,0,1,0,0,,0
466162,0,1,0,0,,0
466164,0,0,0,1,Possible merger,0
466174,0,0,0,0,,1
466175,0,1,0,0,,0
466178,0,1,1,0,,0
466179,0,0,0,0,,1
466183,0,0,0,0,,1
466184,0,1,0,0,,0
466186,0,0,0,1,Possible merger,9
466187,0,0,0,1,Unsual shape,0
466190,0,0,0,0,,1
466191,0,0,0,0,,0
466192,1,0,0,0,,0
466194,0,0,0,0,,0
466195,0,0,0,1,Image artifact,1
466196,0,1,1,0,,0
466198,0,0,0,0,,1
466208,1,0,0,0,,0
466210,0,0,0,0,,1
466211,1,0,0,0,,0
466212,0,1,1,1,Two possible objects could be the focus,0
470006,1,1,0,0,,0
470008,0,0,1,0,,0
470010,0,0,0,1,Unusual shape,0
470011,0,0,1,1,Several possible objects could be the focus,0
470013,1,0,0,0,,0
470017,0,0,0,0,,0
470019,0,0,0,1,Unusual shape,0
470029,0,1,0,0,,0
470032,0,1,0,0,,0
470034,1,1,0,0,,0
470035,0,1,1,1,Possible merger,0
470036,0,0,0,0,,1
470039,0,0,0,0,,1
470041,0,1,0,0,,0
470049,0,0,0,0,,0
470056,0,0,0,0,,1
470057,0,0,0,0,,1
470075,0,0,1,0,,0
470076,0,1,0,0,,0
470091,0,0,0,0,,1
470093,0,0,0,1,Possible image artifact,0
470101,0,1,0,0,,0
470105,0,0,0,0,,1
470108,0,0,0,0,,0
470112,0,0,0,0,,0
470129,0,0,0,0,,1
470133,0,0,0,0,,1
470136,0,0,0,0,,0
470137,0,0,0,0,,1
470139,0,0,0,1,Possible image artifact,0
470142,0,0,0,0,,0
475002,0,1,0,0,,0
475003,1,1,0,0,,0
475006,0,1,0,0,,0
475009,1,0,0,0,,0
475010,0,0,0,0,,0
475012,0,0,0,0,,1
475014,1,0,0,0,,0
475016,1,1,0,0,,0
475026,0,1,0,0,,0
475031,0,0,0,0,,0
475033,0,0,0,0,,0
475039,0,0,0,0,,0
475040,0,0,0,0,,0
475053,0,1,0,0,,0
475067,0,1,0,0,,0
475075,0,1,1,0,,0
475080,0,1,0,0,,0
475083,0,1,1,0,,0
475087,0,0,0,0,,0
475091,0,0,0,0,,1
475097,0,1,1,0,,0
475101,0,0,0,0,,1
475102,0,0,0,0,,1
475121,0,1,0,0,,0
