ID,merger/pair_1,off center,nearby_1,irregular_1,comment/question,no/problematic object,OBJNUMBER_1,"Merger/Pair(<0.5"")_1",Off-Center_1,"Nearby(0.5""<r<1"")_1",Irregular_2,"no/problematic(r<0.5"")_1",Comment/Question?_1,OBJNUMBER_2,"Merger/Pair(<0.5"")_2",Off-Center_2,"Nearby(0.5""<r<1"")_2",Irregular_1a,"no/problematic(r<0.5"")_2",Comment/Question?_2,ï»¿OBJNUMBER,Merger/Pair_2,Off-Center,Nearby_2,Irregular_2a,Comment/Question?,No/Problamatic object,merger_sum,nearby_sum,irregular_sum
466002,0,1,0,1,Multiple possible objects could be the focus,0,466002,0,1,1,1,0,"Off-center distance~0.5""; merger?",466002,0,1,1,0,0,elongated? group?,466002,0,0,1,0,,0,0,3,2
466005,0,1,0,0,,0,466005,0,0,0,0,0,compact core with some structure,466005,0,0,0,0,0,elongated,466005,0,0,0,0,,0,0,0,0
466009,0,0,0,1,Unusual shape/possible merger,0,466009,1,0,1,1,0,Merger and multipl system,466009,1,0,0,1,0,curved obj with small clumps,466009,0,0,0,1,,0,2,1,4
466011,1,0,0,0,,0,466011,1,0,1,0,0,Close pair,466011,1,0,0,0,0,pair,466011,1,0,0,0,,0,4,1,0
466017,0,0,0,0,,0,466017,0,0,0,1,0,Compact obj. with extended structure in one direction,466017,0,0,0,0,0,,466017,0,0,0,0,,0,0,0,1
466021,0,0,0,1,Unusual shape/possible merger,0,466021,1,0,0,1,0,Merger,466021,1,0,0,0,0,small clump or maybe not merger,466021,1,0,0,0,,0,3,0,2
466024,0,0,0,0,,1,466024,0,1,1,1,1,"Off-center distance ~ 0.8""; merger",466024,0,0,0,0,1,cannot see clearly obj,466024,0,0,0,0,Not There,1,0,1,1
466025,0,0,1,0,,0,466025,1,0,1,1,0,Merger with nearby obj.,466025,0,0,1,0,0,fuzzy/LSB,466025,0,0,0,1,,0,1,3,2
466026,0,1,0,0,,0,466026,0,1,0,0,0,Compact obj.,466026,0,0,0,0,0,,466026,0,0,0,0,,0,0,0,0
466027,0,0,0,0,,0,466027,1,0,0,1,0,Merger (late type),466027,0,0,0,0,0,,466027,0,0,0,0,,0,1,0,1
466028,0,0,0,1,Streak object/possible overexposure,1,466028,0,0,0,0,1,Nothing there; fake NB source or bad HST data?,466028,0,0,0,0,1,no obj,466028,0,0,0,0,Error/Streaks,1,0,0,1
466034,0,0,0,0,,0,466034,0,1,0,0,0,Compact obj.,466034,0,1,0,0,0,compact/point-like obj,466034,0,0,0,0,,0,0,0,0
466042,0,0,0,0,,1,466042,1,1,1,1,0,Merger multi-system,466042,0,1,1,0,0,faint/LSB,466042,0,0,0,0,,0,1,2,1
466049,0,0,0,0,,1,466049,0,1,1,0,1,"Nothing in R<0.8"". Fake NB source or bad HST data?",466049,0,1,0,0,1,very off-center; right obj?,466049,0,0,0,0,Problem,1,0,1,0
466050,0,0,0,0,,1,466050,0,1,1,1,0,"Merger? multi-system; off-center at R~0.7""",466050,0,1,0,0,1,no clear matched obj,466050,0,1,0,1,Possible not there,1,0,1,2
466056,1,0,0,0,,0,466056,1,0,0,1,0,Merger and Pair,466056,1,0,0,0,0,pair,466056,1,0,0,0,,0,4,0,1
466058,1,1,0,0,,0,466058,1,1,1,1,0,Merger multi-system,466058,1,1,1,0,0,pair or group; LSB,466058,0,1,0,1,,0,3,2,2
466059,0,1,0,1,Two possible objects,0,466059,1,1,1,1,0,Pair tail?,466059,0,0,1,0,0,compact obj,466059,0,1,0,0,Possible nearby,1,1,2,2
466060,0,0,0,1,Large streak on left,1,466060,0,0,0,0,1,Nothing there; fake NB source?,466060,0,0,0,0,1,no clear matched obj,466060,0,0,0,0,Error/Artifact,1,0,0,1
466063,0,0,0,0,,1,466063,0,0,0,0,1,Nothing there; fake NB source or bad HST data?,466063,0,0,0,0,1,no clear matched obj,466063,0,0,0,0,Not There,1,0,0,0
466065,1,0,0,0,,0,466065,1,1,0,1,0,Merger and Pair,466065,1,1,0,0,0,pair,466065,1,0,0,0,,0,4,0,1
466069,1,0,1,0,,0,466069,1,0,1,1,0,Merger and multi-system,466069,1,0,1,0,0,pair and nearby,466069,1,0,0,0,,0,4,3,1
466070,0,1,1,0,,0,466070,0,0,1,0,0,nearby objects,466070,0,0,1,0,0,compact with nearby,466070,0,0,1,0,,0,0,4,0
466075,0,1,1,0,,0,466075,1,0,1,1,0,merger of 2-3 galaxies; nearby multi-system,466075,0,1,1,1,0,elongated/LSB/offcenter/nearby large,466075,0,0,0,1,,0,1,3,3
466076,0,1,1,1,Two possible objects could be the focus,0,466076,1,1,1,1,0,merger of 4 galaxies?,466076,1,0,0,1,0,multi-clump obj,466076,0,0,0,1,,0,2,2,4
466077,1,1,0,0,,0,466077,1,1,1,1,0,merger of 3 galaxies? Nearly same to 466076,466077,0,0,0,0,0,very elongated/disk?,466077,1,0,0,1,,0,3,1,2
466078,0,1,1,1,Possible merger,0,466078,1,1,1,1,0,Merger. Nearly same to 466077 and 466076,466078,0,1,1,0,0,,466078,0,0,0,0,,0,1,3,2
466082,0,1,0,0,,0,466082,0,0,0,0,0,point,466082,0,0,0,0,0,compact point-like obj,466082,0,0,0,0,,0,0,0,0
466090,0,1,0,0,,0,466090,1,1,0,1,0,"Source with structure; Nearby at ~1.2""",466090,0,1,1,0,0,compact/point-like/offcenter/nearby,466090,0,1,0,0,,0,1,1,1
466092,0,0,0,0,,1,466092,0,0,0,0,1,Nothing there;bad HST data or  fake NB source?,466092,0,0,0,0,1,no clear matched obj,466092,0,0,0,0,Not There,1,0,0,0
466095,0,1,0,0,,0,466095,1,1,0,1,0,merger and irregular sources,466095,1,0,0,0,0,faint nearby clump,466095,0,0,0,0,,0,2,0,1
466097,0,0,0,0,,0,466097,0,0,0,0,0,Bright Point,466097,0,0,0,0,0,bright source,466097,0,0,0,0,,0,0,0,0
466108,0,0,0,0,,1,466108,0,0,0,0,1,Bad data or fake NB source,466108,0,0,0,0,1,no clear matched obj,466108,0,0,0,0,Not There,1,0,0,0
466110,0,0,0,0,,1,466110,0,0,1,0,0,faint signal or fake NB source?,466110,0,0,0,0,1,no clear matched obj/very offcenter?,466110,0,0,0,0,Not There,1,0,1,0
466114,0,0,0,1,image artifact,1,466114,0,0,0,0,1,not covered by HST,466114,0,0,0,0,1,image problem,466114,0,0,0,0,Error,1,0,0,1
466116,0,1,0,0,,0,466116,1,0,1,1,0,merger of 2 galaxies? Nearly same to 466077; 466075; Ã?,466116,0,0,1,0,0,elongated/nearby LSB,466116,0,0,0,1,,0,1,2,2
466122,1,1,0,0,,0,466122,1,0,0,1,0,close pair or merger.,466122,1,0,0,0,0,two clumps/merger/pair,466122,1,0,0,0,,0,4,0,1
466123,0,1,0,0,,0,466123,0,1,1,0,0,"Off-center distance~0.6""; merger",466123,0,1,0,0,0,compact/point-like/offcenter,466123,0,0,0,0,,0,0,1,0
