OBJNUMBER,"Merger/Pair(<0.5"")",Off-Center,"Nearby(0.5""<r<1"")",Irregular,"no/problematic(r<0.5"")",Comment/Question?
466002,0,1,1,1,0,"Off-center distance~0.5""; merger?"
466005,0,0,0,0,0,compact core with some structure
466009,1,0,1,1,0,Merger and multipl system
466011,1,0,1,0,0,Close pair
466017,0,0,0,1,0,Compact obj. with extended structure in one direction
466021,1,0,0,1,0,Merger
466024,0,1,1,1,1,"Off-center distance ~ 0.8""; merger"
466025,1,0,1,1,0,Merger with nearby obj.
466026,0,1,0,0,0,Compact obj.
466027,1,0,0,1,0,Merger (late type)
466028,0,0,0,0,1,Nothing there; fake NB source or bad HST data?
466034,0,1,0,0,0,Compact obj.
466042,1,1,1,1,0,Merger multi-system
466049,0,1,1,0,1,"Nothing in R<0.8"". Fake NB source or bad HST data?"
466050,0,1,1,1,0,"Merger? multi-system; off-center at R~0.7"""
466056,1,0,0,1,0,Merger and Pair
466058,1,1,1,1,0,Merger multi-system
466059,1,1,1,1,0,Pair tail?
466060,0,0,0,0,1,Nothing there; fake NB source?
466063,0,0,0,0,1,Nothing there; fake NB source or bad HST data?
466065,1,1,0,1,0,Merger and Pair
466069,1,0,1,1,0,Merger and multi-system
466070,0,0,1,0,0,nearby objects
466075,1,0,1,1,0,merger of 2-3 galaxies; nearby multi-system
466076,1,1,1,1,0,merger of 4 galaxies?
466077,1,1,1,1,0,merger of 3 galaxies? Nearly same to 466076
466078,1,1,1,1,0,Merger. Nearly same to 466077 and 466076
466082,0,0,0,0,0,point 
466090,1,1,0,1,0,"Source with structure; Nearby at ~1.2"""
466092,0,0,0,0,1,Nothing there;bad HST data or  fake NB source?
466095,1,1,0,1,0,merger and irregular sources
466097,0,0,0,0,0,Bright Point 
466108,0,0,0,0,1,Bad data or fake NB source
466110,0,0,1,0,0,faint signal or fake NB source?
466112,0,0,1,0,0,"point; nearby at ~1.1"""
466114,0,0,0,0,1,not covered by HST
466116,1,0,1,1,0,merger of 2 galaxies? Nearly same to 466077; 466075; É
466117,0,1,1,1,0,Point
466118,0,1,1,1,0,Strong point with some strucutre
466122,1,0,0,1,0,close pair or merger.
466123,0,1,1,0,0,"Off-center distance~0.6""; merger"
466126,1,1,1,1,0,Extended structure in one direction
466128,1,1,1,1,0,"Off-center distance~0.6""; extended objects nearby?"
466132,1,1,1,1,0,"Off-center distance~0.6""; merger"
466143,1,1,1,1,0,"Off-center distance~0.6""; extended structure?"
466145,0,0,0,0,1,Weak HST signal or fake NB source
466154,0,0,0,0,1,Nothing there; fake NB source?
466155,0,1,1,1,0,"Off-center distance~0.6""; merger"
466156,0,0,0,0,1,Bad data or fake NB source
466158,0,1,1,1,0,"Off-center distance~0.6""; extended structure?"
466162,1,1,0,1,0,merger(late type) or tail (irregular)?
466164,1,0,0,1,0,merger(late type)
466174,0,0,0,0,1,Nothing there; fake NB source?
466175,0,0,0,0,1,compact
