# NBs NBID RA_1       DEC_1       F_Lya     dF_Lya    EW_rest fuv       dfuv      U-B   Type SpatialWeight NUMBER RA_2      DEC_2      f mag     dmag       re       dre        n      dn         q        dq         pa       dpa      sn      Separation          OBJNUMBER RA        DEC        Image_Done? Merger/Pair Nearby Off_Center BandPass Irregular Question?                          col11 col12 col13 col14 col15 col16 col17 col18 col19 col20 col21 col22 col23
  466 47   53.1811791 -27.9025233 1.083E-16 9.048E-18 41.26   4.755E-30 2.566E-31 0.36  N    1.6           1733   53.181232 -27.902506 0 25.1631 0.0939884  0.08097  0.0173139  4.3314 1.69722    0.3621   0.13977    27.0164  17.0045  25.2929 0.17945425104606397 1733      53.181232 -27.902506 1           0           1      0.0        0        0         ""                                 ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""   
  466 67   53.0975637 -27.8698075 4.569E-17 6.871E-18 9000.0  9.191E-33 2.327E-31 -0.58 N    3.55          28228  53.097557 -27.869766 2 26.3274 0.391855   0.32505  0.24231    7.8786 8.24036    0.0646   0.312538   30.9262  37.842   6.46642 0.15091389500135516 28228     ""        ""         1           1           0      0.0        0        0         ""                                 ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""   
  466 82   53.0511144 -27.8483019 4.681E-17 6.073E-18 57.66   1.47E-30  1.995E-31 0.52  N    4.91          6568   53.051144 -27.848274 0 25.8739 0.125343   0.10536  0.0301744  2.8514 1.26969    0.6909   0.160878   -59.548  21.621   16.1627 0.13771499300105652 6568      53.051144 -27.848274 1           0           0      0.0        0        0         ""                                 ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""   
  466 84   53.1074011 -27.8440951 3.413E-17 5.341E-18 76.62   8.066E-31 2.059E-31 0.53  N    3.85          7048   53.107502 -27.844107 2 25.5907 0.0666937  0.051306 0.00798342 1.362  0.479703   0.0502   0.100329   43.495   14.8863  30.0811 0.32402913175478065 7048      53.107502 -27.844107 1           0           0      0.0        0        0         ""                                 ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""   
  466 86   53.0573457 -27.8408359 4.057E-17 7.667E-18 29.18   2.517E-30 2.608E-31 0.61  N    5.05          7403   53.057487 -27.840874 2 24.2195 0.0737834  0.383538 0.0487777  8.0    1.2904     0.3298   0.0478758  -50.2393 4.37218  47.7506 0.4702471042180175  7403      53.057487 -27.840874 1           0           0      0.0        0        1         ""                                 ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""   
  466 88   53.0842882 -27.8380864 4.779E-17 6.522E-18 20.86   4.149E-30 2.25E-31  0.44  N    4.7           7706   53.084175 -27.83814  2 23.9451 0.0199803  0.19017  0.00482095 0.2    0.0203958  0.5274   0.0168315  -73.7854 1.5663   97.3578 0.4087681485706181  7706      53.084175 -27.83814  1           0           0      0.0        0        0         ""                                 ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""   
  466 96   53.0862981 -27.8187035 7.127E-17 9.069E-18 41.98   3.074E-30 2.91E-31  0.32  N    4.26          10002  53.086346 -27.818731 0 24.5057 0.0337566  0.107592 0.00729904 1.5207 0.331142   0.7684   0.0569206  -48.3321 5.48903  59.8543 0.18182563956630154 10002     53.086346 -27.818731 1           0           0      0.0        0        0         ""                                 ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""   
  466 105  53.0516303 -27.8045708 1.73E-16  8.694E-18 48.77   6.422E-30 2.622E-31 0.84  N    4.2           11592  53.051643 -27.804598 0 23.3247 0.0202917  0.13869  0.00471353 2.9375 0.229705   0.7245   0.0219514  -28.9112 2.29389  141.305 0.105942569575792   11592     53.051643 -27.804598 1           0           0      0.0        0        1         ""                                 ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""   
  466 131  53.1693168 -27.778326  7.437E-17 8.715E-18 9000.0  1.496E-32 2.535E-31 1.06  N    4.0           15425  53.169453 -27.778185 0 26.2232 0.0514066  0.275364 0.0209953  0.7838 0.118126   0.3095   0.0401934  -27.584  4.53316  39.6249 0.6677220826307587  15425     53.169453 -27.778185 1           1           0      0.0        0        0         ""                                 ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""   
  466 134  53.1571923 -27.7774126 2.91E-17  5.987E-18 54.96   9.588E-31 1.809E-31 0.36  N    3.78          15546  53.157303 -27.777416 0 26.2482 0.0404756  0.175698 0.011341   0.6546 0.0902028  0.3258   0.0374457  4.783    4.71372  51.4532 0.352808834778176   15546     53.157303 -27.777416 1           1           1      0.0        0        0         ""                                 ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""   
  466 136  53.1712163 -27.7737214 3.24E-17  4.91E-18  9000.0  6.519E-33 1.447E-31 -1.16 N    4.06          31711  53.171513 -27.773796 2 28.8295 0.573546   0.091992 0.102248   0.2    0.47838    0.869    0.612901   -5.6559  90.0611  3.2555  0.9824843589659051  31711     ""        ""         1           0           0      0.0        0        0         "Low visibility"                   ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""   
  466 137  53.1380923 -27.7720878 4.75E-17  4.946E-18 63.47   1.355E-30 1.528E-31 0.74  N    3.21          16298  53.138168 -27.772064 0 24.8247 0.0774019  0.252558 0.0350109  4.1573 0.937932   0.1809   0.0624864  -10.7263 6.32953  36.9898 0.25589790475741914 16298     53.138168 -27.772064 1           1           0      0.0        0        1         ""                                 ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""   
  466 146  53.1732427 -27.7630462 2.998E-17 5.96E-18  91.12   5.957E-31 1.703E-31 0.34  N    3.97          17437  53.173115 -27.763018 2 26.2012 0.159287   0.03861  0.0152486  8.0    4.20576    0.9067   0.210271   1.7931   31.7898  13.1658 0.41927410630043865 17437     ""        ""         1           0           0      0.0        0        0         "Possible small companion"         ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""   
  466 164  53.2124261 -27.7273041 5.073E-17 5.758E-18 39.6    2.319E-30 1.573E-31 0.71  N    2.8           21425  53.212448 -27.727276 2 25.1774 0.230105   0.04314  0.0235647  8.0    6.80438    0.0285   0.317765   53.2942  44.3826  9.97152 0.12289656943671415 21425     ""        ""         1           0           0      0.0        0        1         "Image artifact"                   ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""   
  470 38   53.0770881 -27.8956909 3.461E-17 4.31E-18  228.05  2.724E-31 1.508E-31 0.56  N    1.69          27528  53.077114 -27.895695 2 26.6755 0.379754   0.018    0.0171208  3.8069 4.80845    0.0391   0.512199   -41.1069 79.2584  5.01688 0.08371701348990641 27528     ""        ""         1           0           0      0.0        0        0         "Low visibility"                   ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""   
  470 47   53.1985764 -27.8614526 5.287E-17 8.226E-18 89.89   1.056E-30 2.673E-31 0.88  N    1.66          5290   53.19862  -27.861452 0 25.0718 0.100252   0.107364 0.0191418  0.4822 0.265116   0.3991   0.126296   -77.2978 17.4368  19.33   0.13878204549560194 5290      53.19862  -27.861452 1           0           0      0.0        0        0         ""                                 ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""   
  470 65   53.1448548 -27.7999194 5.122E-17 4.793E-18 109.42  8.403E-31 1.697E-31 1.53  N    3.4           12099  53.144936 -27.799879 2 26.244  0.139493   0.052734 0.0183735  6.9792 3.16313    0.0418   0.182466   -37.0698 27.7092  14.8924 0.2966764257268649  12099     53.144936 -27.799879 1           1           1      0.0        0        0         ""                                 ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""   
  470 67   53.2005282 -27.798565  1.132E-16 1.31E-17  79.23   2.566E-30 4.367E-31 0.52  N    3.31          30699  53.2006   -27.798536 2 24.3284 0.43314    0.124626 0.110359   8.0    12.8306    0.004126 0.514611   -84.464  56.944   6.87366 0.2513562655507285  30699     ""        ""         1           0           0      0.0        0        0         "Low visibility, possible companion" ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""   
  470 70   53.1014859 -27.7927251 2.93E-17  3.924E-18 71.42   7.366E-31 1.505E-31 0.74  N    3.12          13122  53.101448 -27.792673 0 26.17   0.104601   0.10191  0.0215729  0.4963 0.237127   0.5847   0.123418   36.0015  19.1918  18.0923 0.22304108292101862 13122     53.101448 -27.792673 1           0           0      0.0        0        0         ""                                 ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""   
  470 72   53.0782559 -27.7869727 9.825E-17 6.472E-18 99.11   1.78E-30  2.221E-31 1.28  N    2.72          14001  53.078316 -27.786884 0 24.9886 0.0900551  0.285054 0.0460466  4.4038 1.10443    0.1744   0.0727364  41.1964  7.51352  31.1316 0.3722947978942906  14001     53.078316 -27.786884 1           1           0      0.0        0        0         ""                                 ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""   
  470 76   53.1952096 -27.7793245 1.435E-16 1.175E-17 90.6    2.843E-30 3.735E-31 0.65  N    3.84          15238  53.195377 -27.77928  0 25.2438 0.0588329  0.128976 0.0137761  0.7974 0.234695   0.511    0.0758426  37.7749  8.78859  33.3446 0.5567321489919765  15238     53.195377 -27.77928  1           0           0      0.0        0        0         ""                                 ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""    ""   
