OBJNUMBER,RA,DEC,Image Done?,Merger/Pair,Nearby,Off Center,BandPass,Irregular,Question?,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1099,53.116535,-27.91534,1,0,1,0,0,0,,,,,,,,,,,,,,
1733,53.181232,-27.902506,1,0,1,0,0,0,,,,,,,,,,,,,,
5290,53.19862,-27.861452,1,0,0,0,0,0,,,,,,,,,,,,,,
6568,53.051144,-27.848274,1,0,0,0,0,0,,,,,,,,,,,,,,
6664,53.193047,-27.848047,1,1,0,0,0,1,,,,,,,,,,,,,,
7048,53.107502,-27.844107,1,0,0,0,0,0,,,,,,,,,,,,,,
7403,53.057487,-27.840874,1,0,0,0,0,1,,,,,,,,,,,,,,
7706,53.084175,-27.83814,1,0,0,0,0,0,,,,,,,,,,,,,,
10002,53.086346,-27.818731,1,0,0,0,0,0,,,,,,,,,,,,,,
11592,53.051643,-27.804598,1,0,0,0,0,1,,,,,,,,,,,,,,
12099,53.144936,-27.799879,1,1,1,0,0,0,,,,,,,,,,,,,,
12122,53.03936,-27.801884,1,0,0,0.00E+00,0,0,Diffraction,,,,,,,,,,,,,
12862,53.222157,-27.794403,1,0,0,0,0,0,,,,,,,,,,,,,,
13122,53.101448,-27.792673,1,0,0,0,0,0,,,,,,,,,,,,,,
14001,53.078316,-27.786884,1,1,0,0,0,0,,,,,,,,,,,,,,
15206,53.199001,-27.779545,1,1,1,0,0,1,,,,,,,,,,,,,,
15238,53.195377,-27.77928,1,0,0,0,0,0,,,,,,,,,,,,,,
15425,53.169453,-27.778185,1,1,0,0,0,0,,,,,,,,,,,,,,
15546,53.157303,-27.777416,1,1,1,0,0,0,,,,,,,,,,,,,,
16298,53.138168,-27.772064,1,1,0,0,0,1,,,,,,,,,,,,,,
16660,,,1,1,0,0,0,0,,,,,,,,,,,,,,
16801,,,1,0,0,0,0,0,,,,,,,,,,,,,,
17163,,,1,0,0,0,0,0,,,,,,,,,,,,,,
17437,,,1,0,0,0,0,0,Possible small companion,,,,,,,,,,,,,
19129,,,1,0,0,0,0,0,,,,,,,,,,,,,,
19706,,,1,0,0,0,0,0,Possible large companion,,,,,,,,,,,,,
21179,,,1,0,0,0,0,0,,,,,,,,,,,,,,
21425,,,1,0,0,0,0,1,Image artifact,,,,,,,,,,,,,
22782,,,1,0,0,0,0,0,,,,,,,,,,,,,,
23200,,,1,0,0,0,0,0,,,,,,,,,,,,,,
26714,,,1,0,0,0,0,0,,,,,,,,,,,,,,
27528,,,1,0,0,0,0,0,Low visibility,,,,,,,,,,,,,
28228,,,1,1,0,0,0,0,,,,,,,,,,,,,,
29081,,,1,0,0,0,1,1,Low visibility,,,,,,,,,,,,,
30699,,,1,0,0,0,0,0,"Low visibility, possible companion",,,,,,,,,,,,,
31711,,,1,0,0,0,0,0,Low visibility,,,,,,,,,,,,,
