# NBs       NBID        RA          DEC               F_Lya          dF_Lya      EW_rest       fuv            dfuv   U-B   Type   SpatialWeight
    466      2      52.8792838     -28.0423572       1.768e-16       1.045e-17   33.32       9.605e-30       2.643e-31    0.80  N    0.82
    466      5      52.9921997     -28.0357041       3.646e-17       7.669e-18   32.35       2.041e-30       1.834e-31    1.25  N    0.98
    466      6      53.3925621     -28.0309908       3.099e-17       9.553e-18   29.88       1.878e-30       7.093e-31    1.11  N    0.71
    466      9      53.1966205     -28.0256452       3.183e-17       6.732e-18   29.04       1.984e-30       2.040e-31    0.41  N    0.74
    466     11      53.2864360     -28.0242694       6.170e-17       6.340e-18   54.08       2.066e-30       1.998e-31    0.83  N    1.06
    466     17      52.9774181     -27.9870034       4.368e-17       4.957e-18   30.25       2.615e-30       1.573e-31    0.85  N    1.47
    466     21      52.8472636     -27.9788024       3.996e-17       5.071e-18   35.33       2.048e-30       1.722e-31    3.04  N    1.36
    466     24      53.3018722     -27.9688682       3.244e-17       5.746e-18 9000.00       6.527e-33       1.786e-31   -1.20  N    2.08
    466     26      53.3117854     -27.9636194       2.630e-16       7.083e-18   53.91       8.833e-30       2.108e-31    0.65  X    2.16
    466     27      52.8504778     -27.9608703       5.561e-17       4.910e-18  126.13       7.983e-31       1.573e-31    1.19  N    1.34
    466     28      53.0820130     -27.9566657       3.001e-17       5.785e-18 1459.70       3.722e-32       2.006e-31   -0.08  N    0.90
    466     34      53.2603845     -27.9360594       3.208e-17       5.496e-18  164.75       3.525e-31       1.725e-31    0.46  N    1.93
    466     42      53.0250007     -27.9129718       4.796e-17       5.387e-18   49.36       1.759e-30       1.644e-31    0.52  N    1.85
    466     43      53.1853217     -27.9102215       3.543e-17       5.423e-18 9000.00       7.127e-33       1.553e-31    0.23  N    1.55
    466     47      53.1811791     -27.9025233       1.083e-16       9.048e-18   41.26       4.755e-30       2.566e-31    0.36  N    1.60
    466     49      53.3176638     -27.8995262       5.905e-17       5.623e-18  195.69       5.464e-31       2.212e-31    0.66  N    5.45
    466     50      53.3154482     -27.8984731       8.697e-17       8.997e-18   52.68       2.989e-30       3.373e-31    0.46  N    5.45
    466     54      53.3751646     -27.8920469       1.239e-16       1.500e-17 9000.00       2.494e-32       1.322e-30    0.63  N    4.02
    466     56      52.9534890     -27.8929363       1.048e-16       1.044e-17   89.31       2.124e-30       3.371e-31    0.87  N    1.28
    466     58      53.3166361     -27.8887937       1.039e-16       1.059e-17  156.07       1.205e-30       4.631e-31    0.38  N    5.86
    466     59      53.3214293     -27.8879438       5.383e-17       5.866e-18   38.40       2.539e-30       2.853e-31    0.42  N    5.98
    466     60      53.3197855     -27.8879128       7.194e-17       8.423e-18   41.63       3.129e-30       4.168e-31    1.15  N    5.96
    466     63      53.3711277     -27.8765732       5.616e-17       7.363e-18   99.48       1.022e-30       2.527e-31    1.00  N    4.74
    466     64      52.8563347     -27.8759354       3.983e-17       1.022e-17   32.49       2.219e-30       8.036e-31    0.94  N    0.83
    466     65      53.3457349     -27.8763443       1.232e-16       9.939e-18   53.40       4.177e-30       3.035e-31    1.01  N    5.90
    466     67      53.0975637     -27.8698075       4.569e-17       6.871e-18 9000.00       9.191e-33       2.327e-31   -0.58  N    3.55
    466     68      53.1123048     -27.8681047       3.108e-17       5.538e-18  436.75       1.288e-31       2.004e-31    2.41  N    3.17
    466     69      53.0264809     -27.8680305       1.350e-16       9.213e-18   91.66       2.667e-30       2.860e-31    0.41  N    3.74
    466     70      53.0268474     -27.8655360       7.628e-17       7.099e-18  582.78       2.370e-31       2.253e-31    0.69  N    3.85
    466     75      53.3116127     -27.8609039       3.711e-17       6.990e-18   34.54       1.945e-30       2.304e-31    0.39  N    5.43
    466     76      53.3279345     -27.8559386       3.658e-17       7.347e-18   36.77       1.801e-30       2.366e-31    0.89  N    5.44
    466     77      53.3708200     -27.8548828       3.423e-17       7.147e-18   40.27       1.539e-30       2.329e-31    1.16  N    4.45
    466     78      53.2848008     -27.8518752       5.461e-17       4.748e-18   34.59       2.858e-30       1.650e-31    0.71  N    4.09
    466     80      53.4081075     -27.8484258       1.106e-16       9.420e-18   41.16       4.866e-30       6.407e-31    0.77  N    2.78
    466     82      53.0511144     -27.8483019       4.681e-17       6.073e-18   57.66       1.470e-30       1.995e-31    0.52  N    4.91
    466     84      53.1074011     -27.8440951       3.413e-17       5.341e-18   76.62       8.066e-31       2.059e-31    0.53  N    3.85
    466     86      53.0573457     -27.8408359       4.057e-17       7.667e-18   29.18       2.517e-30       2.608e-31    0.61  N    5.05
    466     87      53.4070098     -27.8375462       1.377e-16       1.445e-17  171.44       1.454e-30       8.788e-31    0.53  N    2.64
    466     88      53.0842882     -27.8380864       4.779e-17       6.522e-18   20.86       4.149e-30       2.250e-31    0.44  N    4.70
    466     90      53.2503628     -27.8268694       3.885e-17       7.180e-18   34.56       2.035e-30       2.434e-31    0.42  N    3.49
    466     92      53.0044169     -27.8246148       3.734e-17       6.582e-18 3869.22       1.747e-32       2.835e-31   -1.31  N    3.96
    466     95      52.9154140     -27.8185907       3.032e-17       6.331e-18   29.51       1.861e-30       2.053e-31    0.69  N    2.96
    466     96      53.0862981     -27.8187035       7.127e-17       9.069e-18   41.98       3.074e-30       2.910e-31    0.32  N    4.26
    466     97      52.9945326     -27.8173929       2.962e-17       6.680e-18   22.13       2.423e-30       3.184e-31    1.31  N    3.79
    466    105      53.0516303     -27.8045708       1.730e-16       8.694e-18   48.77       6.422e-30       2.622e-31    0.84  N    4.20
    466    110      53.2857206     -27.7952443       3.124e-17       6.076e-18 1988.35       2.845e-32       1.972e-31    0.93  N    4.49
    466    114      52.9100749     -27.7932610       8.012e-17       5.780e-18  143.98       1.008e-30       1.785e-31    1.28  N    3.57
    466    116      53.2485933     -27.7905439       7.703e-17       1.055e-17   26.44       5.275e-30       3.121e-31    0.38  N    4.99
    466    117      53.2687268     -27.7890035       3.161e-17       7.105e-18   72.10       7.938e-31       2.282e-31    0.34  N    4.94
    466    118      52.9309416     -27.7896325       7.141e-17       1.373e-17   20.25       6.386e-30       4.188e-31    0.99  N    4.15
    466    122      53.3456041     -27.7851982       1.161e-16       7.773e-18  166.08       1.266e-30       2.522e-31    0.63  N    2.31
    466    123      52.9545430     -27.7847075       3.398e-17       6.179e-18   72.44       8.494e-31       1.981e-31    0.31  N    4.13
    466    125      53.4046758     -27.7821771       3.002e-17       3.771e-18   73.33       7.412e-31       1.253e-31    0.68  N    1.34
    466    126      53.3057597     -27.7827041       1.096e-16       7.852e-18   27.87       7.122e-30       2.503e-31    0.75  N    3.67
    466    131      53.1693168     -27.7783260       7.437e-17       8.715e-18 9000.00       1.496e-32       2.535e-31    1.06  N    4.00
    466    132      53.2567283     -27.7779972       8.634e-17       1.185e-17  105.15       1.487e-30       3.630e-31    0.94  N    5.01
    466    134      53.1571923     -27.7774126       2.910e-17       5.987e-18   54.96       9.588e-31       1.809e-31    0.36  N    3.78
    466    136      53.1712163     -27.7737214       3.240e-17       4.910e-18 9000.00       6.519e-33       1.447e-31   -1.16  N    4.06
    466    137      53.1380923     -27.7720878       4.750e-17       4.946e-18   63.47       1.355e-30       1.528e-31    0.74  N    3.21
    466    143      53.2327505     -27.7663645       3.283e-17       7.471e-18   30.49       1.949e-30       2.256e-31    0.52  N    4.65
    466    145      53.2616215     -27.7635411       3.086e-17       5.420e-18  474.14       1.179e-31       1.701e-31    0.71  N    4.51
    466    146      53.1732427     -27.7630462       2.998e-17       5.960e-18   91.12       5.957e-31       1.703e-31    0.34  N    3.97
    466    154      52.8608520     -27.7421936       1.266e-16       1.122e-17   30.41       7.539e-30       5.611e-31    2.84  N    2.51
    466    155      52.8629621     -27.7417904       1.151e-16       1.119e-17   39.88       5.228e-30       4.995e-31    3.93  N    2.56
    466    156      52.8693492     -27.7470733       1.653e-16       1.500e-17   42.07       7.112e-30       5.418e-31    1.13  N    2.71
    466    158      52.9456339     -27.7361590       3.584e-17       8.501e-18   29.75       2.181e-30       2.728e-31    0.77  N    3.26
    466    162      52.9616972     -27.7274072       3.266e-17       3.975e-18  122.68       4.821e-31       1.257e-31    0.99  N    2.90
    466    164      53.2124261     -27.7273041       5.073e-17       5.758e-18   39.60       2.319e-30       1.573e-31    0.71  N    2.80
    466    174      53.3309539     -27.7082214       8.938e-17       1.525e-17   23.88       6.777e-30       5.895e-31    1.07  N    3.73
    466    175      53.3065292     -27.7060328       3.365e-17       4.567e-18   81.44       7.482e-31       1.513e-31    1.15  N    3.52
    466    178      53.2065661     -27.7032243       1.736e-16       9.943e-18   70.78       4.442e-30       2.984e-31    0.64  N    1.75
    466    179      53.3235109     -27.7016499       3.077e-17       7.070e-18  246.50       2.261e-31       3.442e-31   -0.20  N    3.93
    466    183      53.3412731     -27.6915177       3.534e-17       7.399e-18   43.24       1.480e-30       2.345e-31    1.21  N    3.88
    466    184      52.9429316     -27.6920107       3.741e-17       7.883e-18   32.70       2.072e-30       2.803e-31    0.85  N    3.09
    466    186      52.9165384     -27.6877209       4.289e-17       7.551e-18   32.43       2.394e-30       2.667e-31    1.10  N    3.36
    466    187      52.9937700     -27.6813912       5.117e-17       9.224e-18   24.05       3.853e-30       3.152e-31    0.98  N    1.72
    466    190      53.3448750     -27.6705963       3.278e-17       5.469e-18 9000.00       6.594e-33       1.623e-31   -1.42  N    3.42
    466    191      53.3222733     -27.6710257       3.201e-17       6.054e-18   29.87       1.940e-30       1.790e-31    1.23  N    3.58
    466    192      52.9202414     -27.6706542       5.607e-17       5.517e-18   21.57       4.706e-30       1.972e-31    0.94  N    3.21
    466    194      53.3342708     -27.6685444       3.400e-17       4.698e-18   65.29       9.429e-31       1.399e-31    0.72  N    3.53
    466    195      53.0804866     -27.6657693       6.604e-17       9.471e-18   54.68       2.187e-30       4.624e-31    0.60  N    2.27
    466    196      53.0774401     -27.6655799       5.685e-17       1.016e-17   23.50       4.380e-30       4.932e-31    0.86  N    2.27
    466    198      53.0861871     -27.6573615       4.633e-17       8.870e-18  493.20       1.701e-31       4.305e-31   -0.72  N    2.31
