ID,diffuse,compact,merger,off_center,nearby,irregular,problematic,comment
466002,0,0,1,1,1,1,0,Three sources
466005,0,1,0,0,0,0,0,
466009,1,0,0,0,0,0,0,
466011,0,0,1,0,0,0,0,
466017,0,0,0,0,0,0,0,
466021,0,1,0,0,0,0,0,multiple small components
466024,1,0,0,1,0,0,0,
466025,1,0,0,0,1,0,0,
466026,0,0,0,0,0,0,0,
466027,0,1,0,0,0,0,0,
466028,0,0,0,0,0,0,1,likely diffraction spike
466034,0,1,0,0,0,0,0,
466042,0,0,0,0,1,1,0,pair next to bright source - maybe lensed?
466043,0,0,0,1,1,0,0,5 sources
466047,0,0,0,0,1,0,0,
466049,0,0,0,0,0,0,1,
466050,0,0,0,1,0,1,0,
466056,0,0,1,0,0,0,0,
466058,0,0,0,1,0,0,0,6 compact sources
466059,0,0,0,1,1,0,0,
466060,0,0,0,0,0,0,1,
466063,1,0,0,0,0,0,0,no visible source - no apparent problems
466065,0,0,1,0,0,0,0,
466067,0,0,1,0,0,0,0,
466068,0,0,1,1,0,0,0,
466069,0,0,1,0,1,0,0,
466070,0,1,0,0,1,0,0,
466075,0,0,0,0,1,0,0,
466076,0,0,0,0,0,1,0,
466077,0,0,0,0,0,0,0,elongated
466078,0,0,1,0,0,0,0,
466082,0,1,0,0,1,0,0,
466084,0,1,0,0,0,0,0,
466086,0,0,0,0,1,0,0,
466088,0,0,0,0,1,0,0,
466090,0,0,0,0,1,1,0,multiple sources in one image and not the other
466092,1,0,0,0,0,0,0,no visible source - no apparent problems
466095,0,0,1,0,0,0,0,
466096,0,0,1,0,0,0,0,
466097,0,0,1,0,0,0,0,pair in one image and not the other
466105,0,0,0,0,0,0,0,
466108,1,0,0,0,0,0,0,
466109,0,0,0,0,0,0,0,
466110,0,1,0,1,0,0,0,
466112,0,1,0,0,0,0,0,
466114,0,1,0,0,0,0,0,
466116,0,0,1,0,0,0,0,
466117,0,1,0,1,0,0,0,
466118,0,0,0,1,0,0,0,
466122,0,0,1,0,0,0,0,
466123,0,1,0,1,0,0,0,
466126,0,0,0,0,1,0,0,
466128,0,1,0,0,0,0,0,
466131,0,0,1,0,0,0,0,
466132,0,0,1,0,0,0,0,
466134,0,0,0,0,1,0,0,
466136,1,0,0,0,0,0,0,
466137,0,0,1,0,0,0,0,
466140,0,0,0,0,0,0,0,
466143,0,1,0,1,0,0,0,
466145,0,1,0,1,0,0,0,different sources in both images
466146,0,0,0,0,1,0,0,
466154,0,0,0,0,0,0,1,
466155,1,0,0,1,0,0,0,
466156,0,0,0,0,0,0,1,
466158,0,0,0,1,0,0,0,
466162,0,1,0,0,0,0,0,
466164,0,0,0,0,0,0,0,
466174,1,0,0,0,0,0,0,no visible source - no apparent problems
466175,0,0,0,0,0,0,0,
466178,0,0,0,0,1,0,0,
466179,1,0,0,0,0,0,0,no visible source - no apparent problems
466183,1,0,0,0,0,0,0,
466184,0,1,0,0,0,0,0,
466186,0,0,0,0,0,1,0,
466187,0,0,0,0,0,1,0,elongated
466190,0,0,0,0,0,0,0,
466191,0,0,0,0,0,0,0,
466192,0,0,0,0,0,1,0,
466194,1,0,0,0,0,0,0,
466195,0,0,0,0,0,0,1,
466196,0,0,0,1,1,0,0,
466198,0,0,0,1,0,0,0,
466208,0,0,0,0,0,1,0,
466210,1,0,0,0,0,1,0,
466211,0,0,1,0,0,0,0,
466212,0,0,0,0,1,0,0,
470006,0,0,0,0,1,1,0,
470008,0,0,1,0,0,1,0,
470010,0,0,0,0,0,1,0,
470011,0,0,0,0,1,1,0,
470013,0,0,1,0,0,0,0,
470014,0,0,0,0,0,0,0,
470017,0,0,0,0,0,0,0,
470019,0,0,0,0,0,1,0,compact sources within diffuse source
470028,0,0,1,0,0,0,0,
470029,0,1,0,0,0,0,0,
470031,0,0,1,0,0,0,0,
470032,0,1,0,0,0,0,0,
470033,0,0,0,0,1,0,0,
470034,0,0,0,0,0,0,0,
470035,0,0,1,0,1,0,0,
470036,1,0,0,0,0,0,0,
470038,0,1,0,0,0,0,0,
470039,0,0,0,1,0,0,0,offset between images
470041,0,0,0,0,0,0,0,
470047,0,0,0,0,0,0,0,
470049,0,1,0,0,0,0,0,
470050,0,0,0,0,1,0,0,
470056,1,0,0,0,0,0,0,
470057,1,0,0,0,0,0,0,
470065,0,0,0,0,1,0,0,
470067,0,0,0,0,1,0,0,
470070,0,0,0,0,0,0,0,
470071,0,0,0,1,0,0,0,
470072,0,0,0,0,1,1,0,
470075,0,0,0,0,1,1,0,
470076,0,0,0,1,1,0,0,many sources in one image and not the other
470081,0,0,0,0,1,0,0,
470085,0,1,0,0,0,0,0,
470089,0,0,0,0,0,0,0,
470091,0,0,0,1,0,0,1,non-uniform background
470092,0,0,0,0,1,0,0,
470093,0,0,0,0,1,0,0,
470100,0,0,0,0,0,0,0,
470101,0,1,0,0,0,0,0,
470105,1,0,0,0,0,0,0,
470108,0,0,0,0,0,0,0,
470111,0,0,0,0,0,0,0,
470112,0,0,1,0,1,0,0,
470116,0,0,0,0,1,0,0,
470117,0,0,0,0,1,0,0,
470121,0,1,0,1,0,0,0,
470129,0,1,0,0,0,0,0,
470133,0,0,0,1,0,0,0,
470136,0,1,0,0,0,0,0,
470137,1,0,0,0,0,0,0,
470139,0,0,0,0,0,0,0,
470142,0,1,0,0,0,0,0,
475002,0,1,0,0,0,0,0,
475003,0,0,1,0,0,0,0,
475006,0,1,0,0,0,0,0,
475009,0,0,1,0,0,0,0,
475010,0,1,0,0,0,0,0,
475012,1,0,0,0,0,0,0,
475014,0,0,1,0,0,0,0,
475016,0,0,1,0,1,0,0,
475026,0,1,0,0,0,0,0,
475031,0,1,0,0,0,0,0,
475033,0,0,0,0,1,0,0,
475039,1,0,0,0,0,0,0,
475040,0,0,0,1,0,0,0,
475045,0,0,1,0,0,0,0,
475053,0,1,0,0,0,0,0,many sources in one image and not the other
475067,0,1,0,0,0,0,0,
475075,0,0,1,0,1,0,0,
475080,0,0,0,1,1,0,0,
475083,0,1,0,0,0,0,0,
475087,0,1,0,0,0,0,0,
475091,1,0,0,0,0,0,0,
475097,0,1,0,0,0,0,0,
475101,1,0,0,0,0,0,0,
475102,0,1,0,0,1,0,0,
475121,0,1,0,0,0,0,0,
