ID,diffuse,compact,merger,off_center,nearby,irregular,problematic,comment
466002,0,0,1,1,1,1,0,
466005,0,1,0,0,0,0,0,Some_Structure?
466009,0,0,1,0,1,1,0,Multi-System
466011,0,0,1,0,1,0,0,ClosePair
466017,0,1,0,0,0,1,0,LateTypeMerger?
466021,0,0,1,0,0,1,0,
466024,1,0,0,0,1,1,0,
466025,0,0,1,0,1,1,0,Multi-System?
466026,0,1,0,1,0,0,0,
466027,0,0,1,0,0,1,0,LateTypeMerger?
466028,0,0,0,0,0,0,1,FakeNBsourceORbadHSTdata?
466034,0,1,0,1,1,0,0,NearbyFaintObjects
466042,0,0,1,1,1,1,0,Multi-System?
466043,0,0,1,1,1,1,0,Multi-System?
466047,0,1,1,0,1,0,0,Multi-System?
466049,0,0,0,1,1,0,1,FakeNBsourceORbadHSTdata?
466050,1,0,1,1,1,1,0,Off-Center-R-0.7arcsec
466056,0,0,1,0,0,1,0,Merger-and-Pair
466058,0,0,1,1,1,1,0,Multi-System?
466059,0,0,1,1,1,1,0,PairTail?
466060,0,0,0,0,0,0,1,FakeNBsource?
466063,0,0,0,0,0,0,1,FakeNBsourceORbadHSTdata
466065,0,0,1,0,0,1,0,Merger-and-Pair
466067,0,0,1,0,0,1,0,Merger-and-Pair
466068,0,0,0,0,0,0,1,FakeNBsource?
466069,0,0,1,0,1,1,0,Merger-and-Pair
466070,0,1,0,0,1,0,0,
466075,0,0,1,0,1,1,0,Merger-and-Pair
466076,0,0,1,1,1,1,0,4-galaxy-merger?
466077,0,0,1,1,1,1,0,4-galaxy-merger?
466078,0,0,1,1,1,1,0,Merger-and-Pair
466082,0,1,0,0,0,0,0,With-a-tail?
466084,0,1,0,0,0,0,0,
466086,0,0,1,1,0,1,0,Merger-and-Pair
466088,0,0,1,1,1,1,0,Merger-and-Pair
466090,0,0,1,1,0,1,0,SourceWithStructure
466092,1,0,0,0,0,0,1,FakeNBsource?
466095,0,0,1,1,0,1,0,Merger-and-Pair
466096,0,0,1,1,1,1,0,Merger-and-Pair
466097,0,1,1,0,1,0,0,Merger-and-Pair
466105,0,0,1,0,1,1,0,StrangeMerger
466108,0,0,0,0,0,0,1,
466109,0,1,0,0,0,0,0,Star-or-Quasar?
466110,0,0,0,0,1,0,1,FakeNBsource-or-FaintSignal?
466112,0,1,0,0,0,0,0,
466114,0,1,0,0,0,0,0,Compact-or-LateTypeMerger?
466116,0,0,1,0,1,1,0,2-galaxy-merger?
466117,1,0,0,1,1,1,0,
466118,0,0,0,1,1,1,0,LateTypeMerger?
466122,0,0,1,0,0,0,0,Merger-and-Pair
466123,0,0,1,1,1,1,0,Off-center-Merger
466126,0,0,1,1,1,1,0,Late-type-merger
466128,0,0,1,1,1,1,0,
466131,0,0,1,1,1,0,0,Multi-System
466132,0,0,1,1,1,1,0,Merger-and-Pair
466134,0,0,1,1,1,1,0,Merger-and-Pair
466136,1,0,0,0,0,0,0,FakeNBsource?
466137,0,0,1,1,1,1,0,
466140,0,1,0,0,0,0,0,
466143,0,1,0,1,1,0,0,
466145,1,0,0,1,0,0,0,
466146,0,0,0,1,0,1,0,Point-with-Tail?
466154,0,0,0,0,0,0,1,FakeNBsource?
466155,0,0,0,1,1,1,0,
466156,0,0,0,0,0,0,1,
466158,0,0,0,1,1,1,0,
466162,0,1,0,0,0,0,0,StructureorLatetypeMerger?
466164,0,0,1,0,0,1,0,
466174,0,0,0,0,0,0,1,
466175,0,1,0,0,0,0,0,
466178,0,0,1,1,1,1,0,
466179,1,0,0,0,0,0,1,
466183,1,0,0,0,0,1,0,
466184,0,0,1,1,1,1,0,
466186,0,0,1,0,1,1,0,
466187,0,0,1,0,1,1,0,Merger-and-Longtail
466190,0,0,0,0,0,0,1,FakeNBsource?
466191,0,1,0,0,0,0,0,
466192,0,0,1,0,1,1,0,
466194,0,0,1,0,1,1,0,
466195,0,0,0,0,0,0,1,FakeNBsource?
466196,0,0,0,1,1,1,0,Off-center-Distance-0.8arcsec
466198,0,0,0,0,0,0,1,FakeNBsource?
466208,0,0,1,0,1,1,0,Multi-System
466210,0,0,1,1,1,1,0,
466211,0,0,1,0,1,0,0,Merger-and-Pair
466212,0,0,0,1,1,1,0,Off-center-Distance-0.6arcsec
470006,0,0,1,0,1,1,0,
470008,0,0,1,0,1,1,0,
470010,0,0,1,0,1,1,0,
